Id,Word,English,Pinyin,Example,Translation,Book,Lesson,Dialog,NW,PN,OofC
28,呢,question particle,ne,你怎样填写你的简历呢？,How do you organize your résumé?,1,4,2,7,,
29,他,"he, him",tā,听到他病了，我很难过。,I' m sorry to learn of his illness.,1,4,3,8,,
30,同学,classmate,tóng xué,我的同学十八岁。,My classmate is eighteen.,1,4,3,9,,
31,朋友,friend,péng you,他直接到朋友那儿请求帮助。,He went straight to his friend to ask for help,1,4,3,10,,
32,家,family,jiā,他们家晚餐吃烤猪肉。,The family had roast pork for dinner.,1,5,1,1,,
33,有,"to have, there is/are",yǒu,有一部分男孩学习很努力。,Some of the boys study hard.,1,5,1,2,,
34,口,measure word for counting people in a household,kǒu,,,1,5,1,3,,HSK 3
35,女儿,daughter,nǚ ér,我女儿酷爱滑雪。,My daughter loved skiing.,1,5,2,4,,
36,几,how many,jǐ,你捉了几条鱼？,How many fish did you catch?,1,5,2,5,,
37,岁,years old,suì,你几岁了？,How old are you?,1,5,2,6,,
38,了,particle to indicate change,le,他们仔细制订了学习计划。,They elaborated a plan of study.,1,5,2,7,,
39,今年,this year,jīn nián,我盼望今年暑假见到你。,I' m looking forward to seeing you this summer vacation.,1,5,2,8,,
40,多,"how (asking degree, as in “how old”)",duō,他有多高？,How tall is he?,1,5,3,9,,
41,大,old (as in “how old”),dà,你多大了？？,Could you tell me how old you are?,1,5,3,10,,
42,会,"can, to know how",huì,他会开车，但他不会打字。,"He can drive, but he can not type.",1,6,1,1,,
43,说,"to speak, to say",shuō,好酒能使人说真话。,Good ale will make a cat speak.,1,6,1,2,,
44,妈妈,mother,mā ma,妈妈因为她调皮打她屁股。,Mother spanked her for being naughty.,1,6,1,3,,
45,菜,"dish, food",cài,这个菜下饭。,This dish goes well with rice.,1,6,2,4,,
46,很,"very, quite",hěn,学一门外语必然很困难。,The study of a foreign language is necessarily difficult.,1,6,2,5,,
47,好吃,"delicious, tasty",hǎo chī,,,1,6,2,6,,HSK 2
48,做,to make,zuò,做物理实验。,make experiment in physics,1,6,2,7,,
49,写,to write,xiě,我想写小说。,I want to write a novel.,1,6,3,8,,
50,汉字,Chinese character,hàn zì,他们首创一种新的汉字输入法。,They originated a new way of processing and inputting Chinese data into computers.,1,6,3,9,,
51,字,"character, ideograph",zì,“王”字的笔画有四个。,The character王has four strokes.,1,6,3,10,,
52,怎么,"how (as in ""how you write"")",zěn me,英语的疑问句是怎么构成的？,How are questions made in English ?,1,6,3,11,,
53,读,to read,dú,她一天读几小时英文？,How many hours a day does she study English?,1,6,3,12,,
54,请,please,qǐng,请你签字。,Please affix your signature.,1,7,1,1,,
55,问,ask,wèn,,,1,7,1,2,,HSK 2
56,今天,today,jīn tiān,他今天闹情绪了。,He is in a bad mood today.,1,7,1,3,,
57,号,-th day (when telling dates),hào,明天几号？,What date will tomorrow be ?,1,7,1,4,,
58,月,month,yuè,保险有效期还有一个月。,The insurance runs for another month.,1,7,1,5,,
59,星期,week,xīng qī,我这星期的时间安排很紧。,"I've got a very busy timetable this week, ie a lot of appointments, etc.",1,7,1,6,,
60,昨天,yesterday,zuó tiān,我看过昨天的报价表。,I saw yesterday's quote.,1,7,2,7,,
61,明天,tomorrow,míng tiān,明天放假。,Tomorrow will be a holiday.,1,7,2,8,,
62,去,to go,qù,出于无奈她才去。,She couldn't help but go.,1,7,3,9,,
63,学校,school,xué xiào,她亲自创办了一所培训学校。,She started a training school herself.,1,7,3,10,,
64,看,"to look at, to watch, to read",kàn,你看那个超人气球,Look at that Superman balloon!,1,7,3,11,,
65,书,book,shū,请帮助我把屋子里的书拿来。,Bring me the book from the room.,1,7,3,12,,
66,想,to want,xiǎng,你想学什么？,What do you want to study?,1,8,1,1,,
67,喝,to drink,hē,下班后来我家喝一杯。,Come by for a drink after work.,1,8,1,2,,
68,茶,tea,chá,我比较喜欢淡一点的茶。,I like it my tea rather weak.,1,8,1,3,,
69,吃,to eat,chī,别客气，开始吃吧！,Don't be too polite. Start eating!,1,8,1,4,,
70,米饭,cooked rice,mǐ fàn,我喜欢米饭。,I like rice.,1,8,1,5,,
71,下午,afternoon,xià wǔ,下午突然下起了大雪。,"During the afternoon, there was a sudden heavy fall of snow.",1,8,2,6,,
72,商店,"shop, store",shāng diàn,商店晚上12点关门。,The shop stays open till midnight.,1,8,2,7,,
73,买,"to buy, to purchase",mǎi,我一定给你买本英语读本。,I'll buy you an English reader by all means.,1,8,2,8,,
74,个,measure word for almost all things,gè,你一个月至少应该看一本书。,You should read one book a month at least.,1,8,2,9,,
75,杯子,"cup, glass",bēi zi,有裂缝的杯子。,a cup with a crack in it,1,8,2,10,,
76,这,this,zhè,这可怎么办？,What can we do about it?,1,8,3,11,,
77,多少,"how many, how much",duō shǎo,一箱装多少件？,How many pieces one container?,1,8,3,12,,
78,钱,money,qián,我会把钱汇给你。,I'll remit you the money.= I'll remit the money to you.,1,8,3,13,,
79,块,1 RMB / 1 dollar,kuài,他再有几块钱就可以还清债务了。,Just a few dollars more would clear him.,1,8,3,14,,
80,那,that,nà,那是一本令人满意的书。,That is a satisfying book.,1,8,3,15,,
81,小,"small, little",xiǎo,小阅览室,individual study carrel,1,9,1,1,,
82,猫,cat,māo,他被那只猫绊倒了。,He tumbled over the cat.,1,9,1,2,,
83,在,at (expressing locations of things),zài,电话在一楼的小书房内。,The telephone is in the little study on the ground floor.,1,9,1,3,,
84,那儿,there,nà r,那儿教育很发达。,Education thrives there.,1,9,1,4,,
85,狗,dog,gǒu,在夜间听到狗叫声。,The bark of a dog sounded in the night.,1,9,1,5,,
86,椅子,chair,yǐ zi,侧身坐在椅子上,sit crosswise in a chair,1,9,1,6,,
87,下面,"under, below",xià miàn,音箱放在桌子下面。,The speaker stood under the table.,1,9,1,7,,
88,在,at (expressing locations of actions),zài,我在学校里学动物学。,I study zoology at school.,1,9,2,8,,
89,哪儿,where,nǎ r,免税店在哪儿？,Where's a tax-free shop?,1,9,2,9,,
90,工作,"job, to work,",gōng zuò,我在日间工作，夜间读书。,I work by day and study by night.,1,9,2,10,,
91,儿子,son,ér zi,她溺爱最小的儿子。,She dotes on her youngest son.,1,9,2,11,,
92,医院,hospital,yī yuàn,救护车急速向医院驶去。,The ambulance sped to the hospital.,1,9,2,12,,
93,医生,doctor,yī shēng,我的医生劝我立即戒烟。,My doctor advised me to give up smoking without delay.,1,9,2,13,,
94,爸爸,dad,bà ba,嗨 ，爸爸。一切都好。,"Hi, Dad. Everything's fine.",1,9,3,14,,
95,桌子,"desk, table",zhuō zi,这张桌子让熨斗烙焦了。,The desk was badly charred by an iron.,1,10,1,1,,
96,上,"up, above",shàng,布告栏上贴了一些海报。,Posters were pasted up on the bulletin board.,1,10,1,2,,
97,电脑,computer,diàn nǎo,精巧的电脑,a sophisticated computer,1,10,1,3,,
98,和,and,hé,除英语外，他还要学德语和法语。,"Besides English, he has to study German and French.",1,10,1,4,,
99,本,measure word for books,běn,那本词典在我的书房里。,The dictionary is in my study.,1,10,1,5,,
100,里,inside,lǐ,她正在宿舍里忙碌。,She is just busy inside the dormitory.,1,10,1,6,,
101,前面,front,qián miàn,她把盘子放在他前面的桌子上。,She put the plate on the table in front of him.,1,10,2,7,,
102,后面,back,hòu miàn,他把球打到球场后面去了。,He dropped the ball to the back of the court.,1,10,2,8,,
103,王方,"Wang Fang, a personal name",wáng fāng,,,1,10,2,,1,
104,谢朋,"Xie Peng, a personal name",xiè péng,,,1,10,2,,2,
105,这儿,here,zhè r,最迟十二点来到这儿。,Come here at twelve o'clock at the latest.,1,10,3,9,,
106,没有,there is not,méi yǒu,你不努力学习，因而没有好分数。,"You don't study hard, thence no good mark.",1,10,3,10,,
107,能,to be able to,néng,他盼望能在英国深造。,He be look forward to have advanced study in England .,1,10,3,11,,
108,坐,to sit,zuò,他不得不坐起来喘气。,He had to sit up to catch his breath.,1,10,3,12,,
109,现在,now,xiàn zài,现在你们要补学英语,You're to make-up study on English now.,1,11,1,1,,
110,点,o'clock,diǎn,2 点整。,It's two o' clock sharp.,1,11,1,2,,
111,分,minute,fēn,时间是下午6 点50 分。,The time was 6:50 p.m.,1,11,1,3,,
112,中午,noon,zhōng wǔ,将近中午时我们把工作做完了。,We were through with the work towards noon.,1,11,1,4,,
113,吃饭,to eat a meal,chī fàn,今天我们去哪里吃饭？,Where shall we eat today?,1,11,1,5,,
114,时候,"time, moment",shí hou,我很抱歉在这个时候打扰你。,I'm sorry to obtrude on you at such a time.,1,11,2,6,,
115,回,to go back,huí,我会工作三年然后再回学校。,I will work for three years and then go back to school.,1,11,2,7,,
116,我们,"we, us",wǒ men,我们组织了一个学习小组。,We formed a study group.,1,11,2,8,,
117,电影,movie,diàn yǐng,今晚要发行一部新电影。,A new movie is to be released tonight.,1,11,2,9,,
118,住,to live (at),zhù,我住上面的套间。,I live in the flat above.,1,11,3,10,,
119,前,before,qián,飞机起飞前务必系好安全带。,Make sure you are firm1y strapped in before the plane takes off.,1,11,3,11,,
120,北京,Beijing,běi jīng,我国首都是北京。,The capital of our country is Beijing.,1,11,3,,1,
121,天气,weather,tiān qì,二月下半月天气越来越冷。,During the last weeks of February the severity of the weather increased.,1,12,1,1,,
122,怎么样,how is,zěn me yàng,你工作情况怎么样？,How's your work going?,1,12,1,2,,
123,太,"too, excessively",tài,但他真的不太想学习。,but he didn't really want to study.,1,12,1,3,,
124,热,hot,rè,我不适合住在佛罗里达。那里太热了。,I wasn't cut out for living in Florida. It was too hot.,1,12,1,4,,
125,冷,cold,lěng,夏天不热，冬天不冷。,"It is neither hot in summer, nor cold in winter.",1,12,1,5,,
126,下雨,to rain,xià yǔ,今天下午很可能要下雨。,"It'll rain this afternoon, as like as not.",1,12,2,6,,
127,小姐,"miss, young lady",xiǎo jie,可以请谭小姐听电话吗？,"May I speak to Miss Tan, please?",1,12,2,7,,
128,来,to come,lái,街头艺人也到这儿来卖唱。,Ballad-singers come and chant here.,1,12,2,8,,
129,雨,rain,yǔ,云预示有雨。,The clouds threaten rain.,1,12,2,,,
130,下,to fall,xià,下大雪,a heavy fall of snow,1,12,2,,,
131,身体,body,shēn tǐ,,,1,12,3,9,,HSK 2
132,爱,"to like, to love",ài,我爱读鲁迅的讽刺杂文。,I like Lu Xun's satirical essays.,1,12,3,10,,
133,些,"measure word, some, a few",xiē,想开些，到头来总会好的。,Cheer up. It'll all come right in the end.,1,12,3,11,,
134,水果,fruit,shuǐ guǒ,这是水果淡季。,It is an off season for fruit.,1,12,3,12,,
135,水,water,shuǐ,把手指伸进水里看有多热。,Put your finger in the water to see how hot it is.,1,12,3,13,,
136,喂,"hello, hey",wèi,喂！有人吗？,Hello ! Is anybody there ?,1,13,1,1,,
137,也,"also, too",yě,,,1,13,1,2,,HSK 2
138,学习,"to study, to learn",xué xí,这几个女孩擅长学习语言。,These girls are good at learning languages.,1,13,1,3,,
139,大卫,David,dà wèi,我们给这婴儿取名大卫。,We' ll call the baby David.,1,13,1,,1,
140,上午,"morning, before noon",shàng wǔ,今天上午有邮件吗？,Is there any mail this morning?,1,13,2,4,,
141,睡觉,to sleep,shuì jiào,你睡觉说梦话吗？,Do you ever talk in your sleep?,1,13,2,5,,
142,电视,television,diàn shì,电视机还未能取代收音机。,Television has not yet replaced radio.,1,13,2,6,,
143,喜欢,to like,xǐ huan,海龟喜欢曝于阳光中。,Turtles like to bask in the sun.,1,13,2,7,,
144,给,to someone,gěi,,,1,13,3,8,,HSK 2
145,打电话,to make a phone call,dǎ diàn huà,我无法打电话，我们的电话坏了。,"I can't make a call, as our phone is out of order.",1,13,3,9,,
146,吧,particle for suggestion,ba,,,1,13,3,10,,HSK 2
147,东西,"thing, stuff",dōng xi,他不想吃什么东西。,He unexpectedly eats any thing.,1,14,1,1,,
148,一点儿,"a few, a little",yī diǎn r,他一点儿也不糊涂。,He was not all confused.,1,14,1,2,,
149,苹果,an apple,píng guǒ,请您给我一个苹果好吗？,"Will you give me an apple, please?",1,14,1,3,,
150,看见,to see,kàn jiàn,前几天我在展览会上看见了她。,I saw her at the exhibition the other day.,1,14,2,4,,
151,先生,"Mr, sir",xiān sheng,卡农先生经营皮货。,Mr. Canon trades in furs.,1,14,2,5,,
152,开,to drive,kāi,开车请注意安全。我并不赶时间。,Please drive safely．I'm not in a hurry．,1,14,2,6,,
153,车,"car, vehicle",chē,我提醒过你不要买那辆旧车。,I warned you not to buy that old car.,1,14,2,7,,
154,回来,to come back,huí lai,我刚从纽约回来。,I've just come back from New York.,1,14,2,8,,
155,分钟,minute,fēn zhōng,他向窗外看了几分钟。,He look out of the window for a few minute.,1,14,2,9,,
156,后,"after, afterwards, later",hòu,做完作业后，她开始看电视。,"After has been done the school assignment, she begins to see television.",1,14,2,10,,
157,张,Zhang,zhāng,张先生有一个大包。,Mr Zhang has a large bag.,1,14,2,,1,
158,衣服,clothes,yī fu,她把衣服搭配得很好。,She coordinates her clothes well.,1,14,3,11,,
159,漂亮,"beautiful, pretty",piào liang,威尼斯以漂亮的建筑物闻名。,Venice is celebrated for its beautiful buildings.,1,14,3,12,,
160,啊,particle,a,,,1,14,3,13,,HSK 3
161,少,"little, few",shǎo,鲸的敌人很少。,Whales have few enemies.,1,14,3,14,,
162,这些,these,zhè xiē,我们稍后会详细讨论这些问题。,We’ll discuss some of these issues in detail a bit later.,1,14,3,15,,
163,都,"both, all",dōu,每一个学生都有机会学习。,Every student has an opportunity to study.,1,14,3,16,,
164,认识,"to meet, to know someone",rèn shi,你很有可能会认识一个好朋友。,It is in the cards that you are going to meet a good friend.,1,15,1,1,,
165,年,year,nián,那儿的年降雨量平均每年为三百毫米。,The rainfall there averages 300 mm a year.,1,15,1,2,,
166,大学,university,dà xué,1980年高考后，他进了北京大学。,"After the college entrance examination in 1980, he enrolled himself in Beijing University.",1,15,1,3,,
167,饭店,hotel,fàn diàn,饭店面临大海。,The hotel fronts the sea.,1,15,2,4,,
168,出租车,taxi,chū zū chē,出租车！到国际贸易大厦。,"Taxi! International Trade Tower, please.",1,15,2,5,,
169,一起,together,yī qǐ,,,1,15,2,6,,HSK 2
170,高兴,happy,gāo xìng,我很高兴有机会到你校参观。,I'm very happy to have a chance to visit your school.,1,15,3,7,,
171,听,to listen,tīng,请大家仔细地听。,Now listen carefully everybody.,1,15,3,8,,
172,飞机,airplane,fēi jī,请留意飞机起飞时间。,Please keep an eye on the departure time.,1,15,3,9,,
173,一,one,yī,这真是一个奇迹！,What a miracle!,1,补充,,,,
174,九,nine,jiǔ,九减六等于三。,"If you subtract 6 from 9, you will have 3.",1,补充,,,,
175,八,eight,bā,二除八得四。,Eight divided by two is four; 2 goes into 8 four times.,1,补充,,,,
176,四,four,sì,二除八得四。,Eight divided by two is four; 2 goes into 8 four times.,1,补充,,,,
177,二,two,èr,二除八得四。,Eight divided by two is four; 2 goes into 8 four times.,1,补充,,,,
178,七,seven,qī,七减三得四。,Subtract 3 from 7 and you have 4.,1,补充,,,,
179,十,ten,shí,十进位法。,"The decimal scale counts by tens, as in cents, dimes(=ten cents), dollars.",1,补充,,,,
180,六,six,liù,六汽缸引擎,a six-cylinder engine,1,补充,,,,
181,三,three,sān,三党联合,a three-party coalition,1,补充,,,,
182,五,five,wǔ,五位数。,a five digit number,1,补充,,,,
183,旅游,"to travel, to take a trip",lǚ yóu,我要去北京旅游。,I'm going to Beijing for a tour.,2,1,1,1,,
184,觉得,"to think, to feel",jué de,我觉得有氧运动很容易。,I think aerobics is easy.,2,1,1,2,,
185,最,most,zuì,你觉得什么时候去最好？,When do you think is the best time to go?,2,1,1,3,,
186,为什么,why,wèi shén me,你为什么喜欢学英语？,Why do you like to study English?,2,1,1,4,,
187,也,also,yě,天气不冷也不热。,It's neither cold nor hot.,2,1,1,5,,
188,运动,"sport, physical exercise",yùn dòng,你喜欢什么运动？,What's your favorite sport?,2,1,2,6,,
189,踢足球,to play football,tī zúqiú,我最喜欢踢足球。,I like playing football best.,2,1,2,7,,
190,一起,together,yī qǐ,我们一起去踢足球吧。,Let's play football together.,2,1,2,8,,
191,要,"to want to, would like to",yào,我要尽快得到这份书面协议。,I want this agreement in black and white as soon as possible.,2,1,3,9,,
192,新,new,xīn,我要买几个新的椅子。,I want to buy some new chairs.,2,1,3,10,,
193,它,it,tā,它很漂亮。,It's beautiful.,2,1,4,11,,
194,眼睛,eye,yǎn jing,得它的眼睛最漂亮。,It has the most beautiful eyes.,2,1,4,12,,
195,花花,name of a cat,huā huā,我的猫叫花花。,My cat is called Huahua.,2,1,4,,1,
196,生病,to get sick,shēng bìng,你很少生病。,You seldom get sick.,2,2,1,1,,
197,每,every,měi,酒几乎影响身体内每一系统。,Alcohol affects nearly every system in the body.,2,2,1,2,,
198,早上,morning,zǎo shang,我今天早上感觉不舒服。,I'm feeling rotten this morning.,2,2,1,3,,
199,跑步,"to run, to jog",pǎo bù,我每天早上都要出去跑步。,I go out for a run every morning.,2,2,1,4,,
200,起床,to get up (from bed),qǐ chuáng,你每天几点起床？,What time do you get up every day?,2,2,1,5,,
201,药,medicine,yào,吃药了吗？,Did you take medicine?,2,2,2,6,,
202,身体,body,shēn tǐ,现在身体怎么样？,How is your health now?,2,2,2,7,,
203,出院,to leave hospital,chū yuàn,什么时候能出院？,When can I be discharged from hospital?,2,2,2,8,,
204,出,to come/go out,chū,我要出去一会儿。,I' ll have to step out for a while.,2,2,2,,,
205,高,"tall, high",gāo,他多高？,It's cheaper than yesterday.,2,2,3,9,,
206,米,meter,mǐ,,,2,2,3,10,,HSK 3
207,知道,to know,zhī dào,你怎么知道？,How did you know?,2,2,3,11,,
208,休息,to have or take a rest,xiū xi,张老师星期六也不休息啊？,Mr. Zhang doesn't rest even on Saturdays?,2,2,4,12,,
209,忙,busy,máng,他这几天很忙。,He is very busy these days.,2,2,4,13,,
210,时间,time,shí jiān,他没有时间休息。,He has no time to rest.,2,2,4,14,,
211,手表,watch,shǒu biǎo,这块手表是你的吗？,Is this watch yours?,2,3,1,1,,
212,千,thousand,qiān,一共三千块。,It's three thousand yuan altogether.,2,3,1,2,,
213,报纸,newspaper,bào zhǐ,这是今天早上的报纸吗？,Is it this morning’s newspaper?,2,3,2,3,,
214,送,"to send, to deliver",sòng,送报纸的来了。,Here comes the newspaper deliverer.,2,3,2,4,,
215,一下,"once, short action",yī xià,看一下。,Look at it.,2,3,2,5,,
216,牛奶,milk,niú nǎi,是送牛奶的。,It's a milkman.,2,3,2,6,,
217,房间,room,fáng jiān,这是谁的房间？,Whose room is this?,2,3,3,7,,
218,丈夫,husband,zhàng fu,这是我和我丈夫。,This is me and my husband.,2,3,3,8,,
219,旁边,beside,páng biān,旁边的房间是我女儿的。,The next room is my daughter's.,2,3,3,9,,
220,真,"really, indeed",zhēn,你女儿的房间真漂亮！,Your daughter's room is beautiful!,2,3,3,10,,
221,粉色,pink,fěn sè,,,2,3,3,11,,HSK 6
222,颜色,color,yán sè,粉色是她最喜欢的颜色。,Let's play football together.,2,3,3,12,,
223,粉,pink,fěn,,,2,3,3,,,HSK 6
224,左边,left side,zuǒ bian,房子的左边有一棵樱桃树。,There is a cherry tree on the left side of the house.,2,3,4,13,,
225,红色,red,hóng sè,左边那个红色的是我的。,The red one on the left is mine.,2,3,4,14,,
226,红,red,hóng,红葡萄的色素存在于果皮中。,The color of red grapes is in the skin.,2,3,4,,,
227,生日,birthday,shēng rì,我收到了她生日宴会的请帖。,I received an invitation to her birthday party.,2,4,1,1,,
228,快乐,"happy, glad",kuài lè,一起渡过一个快乐的周末,spend the weekend having a good time together,2,4,1,2,,
229,给,"(used after a verb) to, for",gěi,这是送给你的！,This is for you!,2,4,1,3,,
230,接,to pick up (a person),jiē,,,2,4,1,3,,HSK 3
231,晚上,"evening, night",wǎn shang,你今天晚上有空吗？,Are you free this evening?,2,4,2,4,,
232,问,to ask,wèn,晚上我问一下儿子。,I’ll ask [my] son [this] evening.,2,4,2,5,,
233,非常,"very, extremely",fēi cháng,我非常喜欢踢足球。,I like playing football very much.,2,4,3,6,,
234,开始,"to begin, to start",kāi shǐ,你是什么时候开始踢足球的？,When did you start playing football?,2,4,3,7,,
235,已经,already,yǐ jīng,我已经踢了十年(足球)了。,I have been playing (football) for ten years.,2,4,3,8,,
236,长,long,cháng,你在这儿工作多长时间了？,How long have you worked here?,2,4,4,9,,
237,两,two,liǎng,已经两年多了。,It's been more than two years.,2,4,4,10,,
238,帮,"to help, to assist",bāng,请帮我分发这些试卷。,Please help me give out these test papers.,2,4,4,11,,
239,介绍,"to introduce, to recommend",jiè shào,这个工作是他帮我介绍的。,He introduced this job to me.,2,4,4,12,,
240,外面,outside,wài miàn,我不想去外面吃。,I don't want to eat out.,2,5,1,1,,
241,准备,"to intend, to plan",zhǔn bèi,那你准备做什么呢？,So what are you going to do?,2,5,1,2,,
242,就,just,jiù,如果你想当律师，就得努力学习。,You must study hard if you intend to follow the law.,2,5,1,3,,
243,鱼,fish,yú,我们在微波炉中煮鱼。,We cooked the fish in the microwave oven.,2,5,1,4,,
244,吧,"particle for suggestion, request or command",ba,就做你爱吃的鱼吧。,"[Let’s] just make fish, [which is] your favorite.",2,5,1,5,,
245,件,measure word. piece (of clothing),jiàn,帮我看一下这件衣服怎么样。,Let me see how this dress looks.,2,5,2,6,,
246,还,"passibly, fairly, rather",hái,嗯，款式还可以。,"Well, the style is OK,",2,5,2,7,,
247,可以,not bad,kě yǐ,颜色还可以，就是有点儿大。,"The color is OK, but it's a little big.",2,5,2,8,,
248,不错,not bad,bù cuò,这件不错，就买这件吧。,This one is good. Just buy this one.,2,5,2,9,,
249,考试,test exam,kǎo shì,你在想昨天的考试吗？,Are you thinking about yesterday's exam?,2,5,3,10,,
250,意思,meaning,yì si,很多字我都不知道是什么意思。,I don't know what a lot of the words mean.,2,5,3,11,,
251,咖啡,coffee,kā fēi,喝咖啡吗？,Would you like to have [some] coffee?,2,5,4,12,,
252,对,"to, for, toward",duì,咖啡喝多了对身体不好。,Drinking too much coffee is bad for your health.,2,5,4,13,,
253,以后,"after, afterwards, later",yǐ hòu,以后我少喝一点儿。,I'll drink less later.,2,5,4,14,,
254,门,"door, gate",mén,苏，请关上门。,"Sue, shut the door, please.",2,6,1,1,,
255,外,"outer, outside",wài,一只老虎埋伏在村外的丛林中。,A tiger was lurking in the jungle outside the village.,2,6,1,2,,
256,自行车,bicycle,zì xíng chē,,,2,6,1,3,,HSK 3
257,羊肉,mutton,yáng ròu,红烧羊肉,Braised mutton,2,6,2,4,,
258,好吃,"delicious, yummy",hǎo chī,今天的羊肉很好吃,Mutton is delicious today.,2,6,2,5,,
259,面条,noodles,miàn tiáo,来一点儿面条吧。,Let's have some noodles.,2,6,2,6,,
260,打篮球,to play baske tball,dǎ lánqiú,昨天你们怎么都没去打篮球？,How tall is he?,2,6,3,7,,
261,因为,"because, since",yīn wèi,他迟到了因为他今晚加班。,He's late because he's on overtime tonight.,2,6,3,8,,
262,所以,"so, therefore",suǒ yǐ,因为昨天下雨，所以我们都没去。,We didn't go because it rained yesterday.,2,6,3,9,,
263,游泳,to swim,yóu yǒng,我去游泳了。,I went swimming.,2,6,3,10,,
264,经常,often,jīng cháng,,,2,6,3,11,,HSK 3
265,公斤,kilogram,gōng jīn,,,2,6,3,12,,HSK 3
266,姐姐,elder sister,jiě jie,听说是去看他姐姐。,I heard it was to see his sister.,2,6,4,13,,
267,教室,classroom,jiào shì,他还在教室学习呢。,He is still studying in the classroom.,2,7,1,1,,
268,机场,airport,jī chǎng,他陪同我们去机场了。,He went with us to the airport for company.,2,7,2,2,,
269,路,"road, path, way",lù,我在去机场的路上。,I'm on my way to the airport.,2,7,2,3,,
270,离,to be away from,lí,博物馆离我们学校不远。,The museum is only a short step away from our school.,2,7,3,4,,
271,公司,"company, frrm",gōng sī,他的公司和我的公司合并。,His company incorporated with mine.,2,7,3,5,,
272,远,"far, distant",yuǎn,你家离公司远吗？,Is your home far from the company?,2,7,3,6,,
273,公共汽车,bus,gōng gòng qì chē,挤上拥挤的公共汽车。,squash into a crowded bus,2,7,3,7,,
274,小时,hour,xiǎo shí,坐公共汽车要一个多小时呢！,It takes more than an hour by bus.,2,7,3,8,,
275,慢,slow,màn,坐公共汽车太慢了。,It's too slow to take a bus.,2,7,3,9,,
276,快,"quick, fast",kuài,开车也不快，路上车太多了！,"You can't drive fast, there are too many cars on the road!",2,7,3,10,,
277,过,to pass (time),guò,,,2,7,4,11,,Outside HSK
278,走,to walk,zǒu,婴儿学会走之前先学会爬。,A baby learns to creep before it learns to walk.,2,7,4,12,,
279,到,"to arrive, to reach",dào,走几分钟就到了。,It's only a few minutes’ walk.,2,7,4,13,,
280,再,"again, once more, reattempt to",zài,今天下午我没有时间，明天下午再去吧。,I don't have time this afternoon. Let's go tomorrow afternoon.,2,8,1,1,,
281,让,"to let, to allow",ràng,让我想想。,Let me think.,2,8,1,2,,
282,告诉,to tell,gào su,让我想想再告诉你。,Thank you for your help this year!,2,8,1,3,,
283,等,to wait for,děng,你等等我！,Wait for me!,2,8,2,4,,
