Id,Traditional,Simplified,English,HSK,HSK 5（二）词语搭配,Img,Txt,Pinyin,Explanation,Example,Example Explanation,Translation,Book,Lesson,Dialog,NW,PN,OofC,Alternative,Grammar Reference,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Length,Character Phrase,Instagram Image Created
83,在,在,at (expressing locations of things),1,,TRUE,FALSE,zài,在，就是 at。,电话在一楼的小书房内。,也就是说，电话在一楼的小书房里。,The telephone is in the little study on the ground floor.,1,9,1,3,,,,1.9.1,,,,,diànhuà zài yī lóu de xiǎo shūfáng nèi,1,,
84,那兒,那儿,there,1,,TRUE,FALSE,nà r,那儿，就是那里。,那儿教育很发达。,也就是说，教育在那里蓬勃发展。,Education thrives there.,1,9,1,4,,,,,,,,,nàr jiàoyù hěn fādá,2,,
85,狗,狗,dog,1,,TRUE,FALSE,gǒu,狗，就是 dog。,在夜间听到狗叫声。,也就是说，狗的吠声在夜间响起。,The bark of a dog sounded in the night.,1,9,1,5,,,,,,,,,zài yèjiān tīngdào gǒu jiàoshēng,1,,
86,椅子,椅子,chair,1,,TRUE,TRUE,yǐ zi,椅子，就是 chair。,侧身坐在椅子上,也就是“坐在 chair 上面”。,sit crosswise in a chair,1,9,1,6,,,,,,,,,cèshēn zuò zài yǐzi shàng,2,,
87,下面,下面,"under, below",1,,TRUE,FALSE,xià miàn,下面，就是低于。,音箱放在桌子下面。,也就是说，演讲者站在桌子下面。,The speaker stood under the table.,1,9,1,7,,,下,,,,,,yīnxiāng fàng zài zhuōzi xiàmian,2,,
88,在,在,at (expressing locations of actions),1,,TRUE,FALSE,zài,在，就是 at。,我在学校里学动物学。,也就是说，我在学校学动物学。,I study zoology at school.,1,9,2,8,,,,1.9.3,,,,,wǒ zài xuéxiào lǐ xué dòngwùxué,1,,
89,哪兒,哪儿,where,1,,TRUE,FALSE,nǎ r,哪儿，就是在哪里？。,免税店在哪儿？,也就是问，免税商店在哪里？,Where's a tax-free shop?,1,9,2,9,,,,1.9.2,,,,,miǎnshuì diàn zàinǎr,2,,
90,工作,工作,"job, to work,",1,,TRUE,FALSE,gōng zuò,工作，就是。,我在日间工作，夜间读书。,也就是说，我白天工作，晚上学习。,I work by day and study by night.,1,9,2,10,,,,,,,,,wǒ zài rìjiān gōngzuò yèjiān dúshū,2,,
91,兒子,儿子,son,1,,TRUE,TRUE,ér zi,儿子，就是 son。,她溺爱最小的儿子。,也就是说，她爱儿子爱得太多。,She dotes on her youngest son.,1,9,2,11,,,,,,,,,tā nì'ài zuì xiǎode érzi,2,,
92,醫院,医院,hospital,1,,TRUE,FALSE,yī yuàn,医院，就是 hospital。,救护车急速向医院驶去。,也就是说，救护车迅速赶到医院。,The ambulance sped to the hospital.,1,9,2,12,,,,,,,,,jiùhùchē jísù xiàng yīyuàn shǐ qù,2,,
93,醫生,医生,doctor,1,,TRUE,FALSE,yī shēng,医生，就是 doctor。,我的医生劝我立即戒烟。,也就是说，我的医生建议我立即戒烟。,My doctor advised me to give up smoking without delay.,1,9,2,13,,,,,,,,,wǒ de yīshēng quàn wǒ lìjí jièyān,2,,
94,爸爸,爸爸,dad,1,,TRUE,FALSE,bà ba,爸爸，就是 dad。,嗨 ，爸爸。一切都好。,也就是说，嗨，爸爸。一切都很好。,"Hi, Dad. Everything's fine.",1,9,3,14,,,,,,,,,hāi  bàba yīqiè dōu hǎo,2,,
95,桌子,桌子,"desk, table",1,,TRUE,TRUE,zhuō zi,桌子，就是工作、学习或者吃饭用的台子。,这张桌子让熨斗烙焦了。,也就是说，熨斗把桌子烧坏了。,The desk was badly charred by an iron.,1,10,1,1,,,,,,,,,zhè zhāng zhuōzi ràng yùndǒu lào jiāo le,2,,
96,上,上,"up, above",1,,TRUE,FALSE,shàng,上，就是向上。,布告栏上贴了一些海报。,也就是说，海报贴在布告板上。,Posters were pasted up on the bulletin board.,1,10,1,2,,,,,,,,,bùgàolán shàng tiē le yīxiē hǎibào,1,,
97,電腦,电脑,computer,1,,TRUE,FALSE,diàn nǎo,电脑，就是计算机。,精巧的电脑,也就是“精密的计算机”。,a sophisticated computer,1,10,1,3,,,,,,,,,jīngqiǎo de diànnǎo,2,,
98,和,和,and,1,,TRUE,FALSE,hé,和，就是 and。,除英语外，他还要学德语和法语。,也就是说，除了英语，他还得学德语和法语。,"Besides English, he has to study German and French.",1,10,1,4,,,,1.10.2,,,,,chú Yīngyǔ wài tā hái yào xué Déyǔ hé Fǎyǔ,1,,
99,本,本,measure word for books,1,,TRUE,FALSE,běn,本，就是计量词。,那本词典在我的书房里。,也就是说，这本词典在我的书房里。,The dictionary is in my study.,1,10,1,5,,,,,,,,,nà běn cídiǎn zài wǒ de shūfáng lǐ,1,一本书,
100,里,里,inside,1,,TRUE,FALSE,lǐ,里，就是里面。,她正在宿舍里忙碌。,也就是说，她在宿舍里很忙。,She is just busy inside the dormitory.,1,10,1,6,,,,,,,,,tā zhèngzài sùshè lǐ mánglù,1,,
101,前面,前面,front,1,,TRUE,FALSE,qián miàn,前面，就是 front。,她把盘子放在他前面的桌子上。,也就是说，她把盘子放在他面前的桌子上。,She put the plate on the table in front of him.,1,10,2,7,,,,,,,,,tā bǎ pánzi fàng zài tā qiánmiàn de zhuōzi shàng,2,,
102,後面,后面,back,1,,TRUE,FALSE,hòu miàn,后面，就是 back。,他把球打到球场后面去了。,也就是说，他把球扔到了球场后面。,He dropped the ball to the back of the court.,1,10,2,8,,,,,,,,,tā bǎ qiú dǎ dào qiúchǎng hòumian qù le,2,,
103,王方,王方,"Wang Fang, a personal name",1,,TRUE,FALSE,wáng fāng,王方，就是王芳，姓。,,,,1,10,2,,1,,,,,,,,,2,,
104,謝朋,谢朋,"Xie Peng, a personal name",1,,TRUE,FALSE,xiè péng,谢朋，就是谢鹏，个人名字。,,,,1,10,2,,2,,,,,,,,,2,,
105,這兒,这儿,here,1,,TRUE,FALSE,zhè r,这儿，就是在这里。,最迟十二点来到这儿。,也就是说，最迟十二点到这里来。,Come here at twelve o'clock at the latest.,1,10,3,9,,,,,,,,,zuì chí shí'èr diǎn láidào zhèr,2,,Yes
106,沒有,没有,there is not,1,,TRUE,FALSE,méi yǒu,没有，就是 there is not。,你不努力学习，因而没有好分数。,也就是说，你不努力学习，就没有好成绩。,"You don't study hard, thence no good mark.",1,10,3,10,,,没,,,,,,nǐ bù nǔlì xuéxí yīn'ér méiyǒu hǎo fēnshù,2,,
107,能,能,to be able to,1,,TRUE,FALSE,néng,能，就是能够。,他盼望能在英国深造。,也就是说，他期待着在英国有更高的学习成绩。,He be look forward to have advanced study in England .,1,10,3,11,,,,1.10.3,,,,,tā pànwàng néng zài Yīngguó shēnzào,1,,
